INFO   | jvm 1    | main    | 2018/07/05 01:00:10.445 | [32mINFO  [auditReportDataRetentionCronJob::de.hybris.platform.servicelayer.internal.jalo.RetentionJob] (auditReportDataRetentionCronJob) [AfterRetentionCleanupJobPerformable] Starting AfterRetentionCleanupJob
INFO   | jvm 1    | main    | 2018/07/05 01:00:10.445 | [m[32mINFO  [auditReportDataRetentionCronJob::de.hybris.platform.servicelayer.internal.jalo.RetentionJob] (auditReportDataRetentionCronJob) [AfterRetentionCleanupJobPerformable] Selecting items for clean up using AuditReportDataRule
INFO   | jvm 1    | main    | 2018/07/05 01:00:10.445 | [m[32mINFO  [auditReportDataRetentionCronJob::de.hybris.platform.servicelayer.internal.jalo.RetentionJob] (auditReportDataRetentionCronJob) [AfterRetentionCleanupJobPerformable] Sending 0 items for clean up, using basicRemoveCleanupAction
INFO   | jvm 1    | main    | 2018/07/05 01:00:10.946 | [m
STATUS | wrapper  | main    | 2018/07/05 06:03:24.121 | Pinging the JVM took 1 seconds to respond.
INFO   | jvm 1    | main    | 2018/07/05 07:02:37.415 | [32mINFO  [hybrisHTTPS21] [203.129.200.117] [DefaultPlatformRuleEngineService] Adding command [session.fireAllRules();]
INFO   | jvm 1    | main    | 2018/07/05 07:02:37.916 | [m
INFO   | jvm 1    | main    | 2018/07/05 07:05:59.771 | [32mINFO  [hybrisHTTPS15] [203.129.200.117] [DefaultPlatformRuleEngineService] Adding command [session.fireAllRules();]
INFO   | jvm 1    | main    | 2018/07/05 07:05:59.771 | [m[32mINFO  [hybrisHTTPS15] [203.129.200.117] [DefaultPlatformRuleEngineService] Adding command [session.fireAllRules();]
INFO   | jvm 1    | main    | 2018/07/05 07:05:59.771 | [m[32mINFO  [hybrisHTTPS15] [203.129.200.117] [DefaultPlatformRuleEngineService] Adding command [session.fireAllRules();]
INFO   | jvm 1    | main    | 2018/07/05 07:05:59.771 | [m[32mINFO  [hybrisHTTPS15] [203.129.200.117] [DefaultPlatformRuleEngineService] Adding command [session.fireAllRules();]
INFO   | jvm 1    | main    | 2018/07/05 07:05:59.771 | [m[32mINFO  [hybrisHTTPS15] [203.129.200.117] [DefaultPlatformRuleEngineService] Adding command [session.fireAllRules();]
INFO   | jvm 1    | main    | 2018/07/05 07:05:59.771 | [m[32mINFO  [hybrisHTTPS15] [203.129.200.117] [DefaultPlatformRuleEngineService] Adding command [session.fireAllRules();]
